公司代码 ,公司简称 ,代码,简称,上市日期,Symbol
600498,  烽火通信,600498,  烽火通信,  2001-08-23,600498.SS
600499,  科达制造,600499,  科达制造,  2002-10-10,600499.SS
600500,  中化国际,600500,  中化国际,  2000-03-01,600500.SS
600501,  航天晨光,600501,  航天晨光,  2001-06-15,600501.SS
600502,  安徽建工,600502,  安徽建工,  2003-04-15,600502.SS
600503,  华丽家族,600503,  华丽家族,  2002-07-09,600503.SS
600505,  西昌电力,600505,  西昌电力,  2002-05-30,600505.SS
600506,  香梨股份,600506,  香梨股份,  2001-12-26,600506.SS
600507,  方大特钢,600507,  方大特钢,  2003-09-30,600507.SS
600508,  上海能源,600508,  上海能源,  2001-08-29,600508.SS
600509,  天富能源,600509,  天富能源,  2002-02-28,600509.SS
600510,  黑牡丹,600510,  黑牡丹,  2002-06-18,600510.SS
600511,  国药股份,600511,  国药股份,  2002-11-27,600511.SS
600512,  腾达建设,600512,  腾达建设,  2002-12-26,600512.SS
